"행정구역","2019년_전년인구수_남자인구수","2019년_전년인구수_여자인구수","2019년_전년인구수_계","2019년_당년인구수_남자인구수","2019년_당년인구수_여자인구수","2019년_당년인구수_계","2019년_인구증감_남자인구수","2019년_인구증감_여자인구수","2019년_인구증감_계","2020년_전년인구수_남자인구수","2020년_전년인구수_여자인구수","2020년_전년인구수_계","2020년_당년인구수_남자인구수","2020년_당년인구수_여자인구수","2020년_당년인구수_계","2020년_인구증감_남자인구수","2020년_인구증감_여자인구수","2020년_인구증감_계","2021년_전년인구수_남자인구수","2021년_전년인구수_여자인구수","2021년_전년인구수_계","2021년_당년인구수_남자인구수","2021년_당년인구수_여자인구수","2021년_당년인구수_계","2021년_인구증감_남자인구수","2021년_인구증감_여자인구수","2021년_인구증감_계"
"전국  (1000000000)","25,866,129","25,959,930","51,826,059","25,864,816","25,985,045","51,849,861","-1,313","25,115","23,802","25,864,816","25,985,045","51,849,861","25,841,029","25,987,994","51,829,023","-23,787","2,949","-20,838","25,841,029","25,987,994","51,829,023","25,746,684","25,892,125","51,638,809","-94,345","-95,869","-190,214"
"서울특별시  (1100000000)","4,773,899","4,991,724","9,765,623","4,744,059","4,985,048","9,729,107","-29,840","-6,676","-36,516","4,744,059","4,985,048","9,729,107","4,701,723","4,966,742","9,668,465","-42,336","-18,306","-60,642","4,701,723","4,966,742","9,668,465","4,618,040","4,891,418","9,509,458","-83,683","-75,324","-159,007"
"부산광역시  (2600000000)","1,692,421","1,749,032","3,441,453","1,675,417","1,738,424","3,413,841","-17,004","-10,608","-27,612","1,675,417","1,738,424","3,413,841","1,661,000","1,730,946","3,391,946","-14,417","-7,478","-21,895","1,661,000","1,730,946","3,391,946","1,639,044","1,711,336","3,350,380","-21,956","-19,610","-41,566"
"대구광역시  (2700000000)","1,219,342","1,242,427","2,461,769","1,205,286","1,232,745","2,438,031","-14,056","-9,682","-23,738","1,205,286","1,232,745","2,438,031","1,193,109","1,225,237","2,418,346","-12,177","-7,508","-19,685","1,193,109","1,225,237","2,418,346","1,175,632","1,209,780","2,385,412","-17,477","-15,457","-32,934"
"인천광역시  (2800000000)","1,481,844","1,472,798","2,954,642","1,482,249","1,474,777","2,957,026","405","1,979","2,384","1,482,249","1,474,777","2,957,026","1,473,943","1,468,885","2,942,828","-8,306","-5,892","-14,198","1,473,943","1,468,885","2,942,828","1,476,373","1,472,002","2,948,375","2,430","3,117","5,547"
"광주광역시  (2900000000)","722,581","736,755","1,459,336","720,740","735,728","1,456,468","-1,841","-1,027","-2,868","720,740","735,728","1,456,468","717,348","732,714","1,450,062","-3,392","-3,014","-6,406","717,348","732,714","1,450,062","713,015","728,596","1,441,611","-4,333","-4,118","-8,451"
"대전광역시  (3000000000)","744,338","745,598","1,489,936","736,607","738,263","1,474,870","-7,731","-7,335","-15,066","736,607","738,263","1,474,870","730,699","733,183","1,463,882","-5,908","-5,080","-10,988","730,699","733,183","1,463,882","724,626","727,625","1,452,251","-6,073","-5,558","-11,631"
"울산광역시  (3100000000)","593,819","561,804","1,155,623","589,712","558,307","1,148,019","-4,107","-3,497","-7,604","589,712","558,307","1,148,019","583,708","552,309","1,136,017","-6,004","-5,998","-12,002","583,708","552,309","1,136,017","576,217","545,375","1,121,592","-7,491","-6,934","-14,425"
"세종특별자치시  (3600000000)","156,831","157,295","314,126","169,845","170,730","340,575","13,014","13,435","26,449","169,845","170,730","340,575","177,568","178,263","355,831","7,723","7,533","15,256","177,568","178,263","355,831","185,678","186,217","371,895","8,110","7,954","16,064"
"경기도  (4100000000)","6,577,501","6,499,652","13,077,153","6,659,995","6,579,671","13,239,666","82,494","80,019","162,513","6,659,995","6,579,671","13,239,666","6,754,469","6,672,545","13,427,014","94,474","92,874","187,348","6,754,469","6,672,545","13,427,014","6,827,298","6,738,152","13,565,450","72,829","65,607","138,436"
