행정구역,2019년_전년인구수_남자인구수,2019년_전년인구수_여자인구수,2019년_전년인구수_계,2019년_당년인구수_남자인구수,2019년_당년인구수_여자인구수,2019년_당년인구수_계,2019년_인구증감_남자인구수,2019년_인구증감_여자인구수,2019년_인구증감_계,2020년_전년인구수_남자인구수,2020년_전년인구수_여자인구수,2020년_전년인구수_계,2020년_당년인구수_남자인구수,2020년_당년인구수_여자인구수,2020년_당년인구수_계,2020년_인구증감_남자인구수,2020년_인구증감_여자인구수,2020년_인구증감_계,2021년_전년인구수_남자인구수,2021년_전년인구수_여자인구수,2021년_전년인구수_계,2021년_당년인구수_남자인구수,2021년_당년인구수_여자인구수,2021년_당년인구수_계,2021년_인구증감_남자인구수,2021년_인구증감_여자인구수,2021년_인구증감_계
전국,25866129,25959930,51826059,25864816,25985045,51849861,-1313,25115,23802,25864816,25985045,51849861,25841029,25987994,51829023,-23787,2949,-20838,25841029,25987994,51829023,25746684,25892125,51638809,-94345,-95869,-190214
서울특별시,4773899,4991724,9765623,4744059,4985048,9729107,-29840,-6676,-36516,4744059,4985048,9729107,4701723,4966742,9668465,-42336,-18306,-60642,4701723,4966742,9668465,4618040,4891418,9509458,-83683,-75324,-159007
부산광역시,1692421,1749032,3441453,1675417,1738424,3413841,-17004,-10608,-27612,1675417,1738424,3413841,1661000,1730946,3391946,-14417,-7478,-21895,1661000,1730946,3391946,1639044,1711336,3350380,-21956,-19610,-41566
대구광역시,1219342,1242427,2461769,1205286,1232745,2438031,-14056,-9682,-23738,1205286,1232745,2438031,1193109,1225237,2418346,-12177,-7508,-19685,1193109,1225237,2418346,1175632,1209780,2385412,-17477,-15457,-32934
인천광역시,1481844,1472798,2954642,1482249,1474777,2957026,405,1979,2384,1482249,1474777,2957026,1473943,1468885,2942828,-8306,-5892,-14198,1473943,1468885,2942828,1476373,1472002,2948375,2430,3117,5547
광주광역시,722581,736755,1459336,720740,735728,1456468,-1841,-1027,-2868,720740,735728,1456468,717348,732714,1450062,-3392,-3014,-6406,717348,732714,1450062,713015,728596,1441611,-4333,-4118,-8451
대전광역시,744338,745598,1489936,736607,738263,1474870,-7731,-7335,-15066,736607,738263,1474870,730699,733183,1463882,-5908,-5080,-10988,730699,733183,1463882,724626,727625,1452251,-6073,-5558,-11631
울산광역시,593819,561804,1155623,589712,558307,1148019,-4107,-3497,-7604,589712,558307,1148019,583708,552309,1136017,-6004,-5998,-12002,583708,552309,1136017,576217,545375,1121592,-7491,-6934,-14425
세종특별자치시,156831,157295,314126,169845,170730,340575,13014,13435,26449,169845,170730,340575,177568,178263,355831,7723,7533,15256,177568,178263,355831,185678,186217,371895,8110,7954,16064
경기도,6577501,6499652,13077153,6659995,6579671,13239666,82494,80019,162513,6659995,6579671,13239666,6754469,6672545,13427014,94474,92874,187348,6754469,6672545,13427014,6827298,6738152,13565450,72829,65607,138436
강원도,776456,766596,1543052,775386,766116,1541502,-1070,-480,-1550,775386,766116,1541502,776505,766335,1542840,1119,219,1338,776505,766335,1542840,774332,764160,1538492,-2173,-2175,-4348
충청북도,808971,790281,1599252,810384,789623,1600007,1413,-658,755,810384,789623,1600007,811591,789246,1600837,1207,-377,830,811591,789246,1600837,810672,786755,1597427,-919,-2491,-3410
충청남도,1082009,1044273,2126282,1081938,1041771,2123709,-71,-2502,-2573,1081938,1041771,2123709,1082634,1038395,2121029,696,-3376,-2680,1082634,1038395,2121029,1083366,1035891,2119257,732,-2504,-1772
전라북도,913297,923535,1836832,904110,914807,1818917,-9187,-8728,-17915,904110,914807,1818917,896874,907230,1804104,-7236,-7577,-14813,896874,907230,1804104,888994,897861,1786855,-7880,-9369,-17249
전라남도,943000,939970,1882970,937674,931071,1868745,-5326,-8899,-14225,937674,931071,1868745,930615,920934,1851549,-7059,-10137,-17196,930615,920934,1851549,922221,910582,1832803,-8394,-10352,-18746
경상북도,1346689,1330142,2676831,1342037,1323799,2665836,-4652,-6343,-10995,1342037,1323799,2665836,1329211,1310211,2639422,-12826,-13588,-26414,1329211,1310211,2639422,1323661,1302948,2626609,-5550,-7263,-12813
경상남도,1697412,1676576,3373988,1692032,1670521,3362553,-5380,-6055,-11435,1692032,1670521,3362553,1681423,1658793,3340216,-10609,-11728,-22337,1681423,1658793,3340216,1668338,1645845,3314183,-13085,-12948,-26033
제주특별자치도,335719,331472,667191,337345,333644,670989,1626,2172,3798,337345,333644,670989,338609,336026,674635,1264,2382,3646,338609,336026,674635,339177,337582,676759,568,1556,2124
