미충족의료율 (단위: %),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
 ,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
서울,5.3,4.8,4.4,3.8,4.4,4.4,4.6
부산,5.4,5.5,6.1,6.3,5.6,6.8,4.4
대구,6.4,4.1,3.5,5.0,4.9,3.8,4.8
인천,7.9,7.5,7.3,7.2,7.2,5.9,7.5
광주,6.7,5.8,5.6,5.8,6.1,4.3,3.6
대전,4.6,5.5,3.6,3.5,4.3,3.3,4.9
울산,6.3,5.5,3.8,4.8,7.2,7.6,8.0
세종,3.0,4.3,4.8,3.7,7.0,8.7,4.7
경기,5.9,5.1,4.9,5.3,5.9,4.9,5.0
강원,5.2,6.5,6.3,7.2,7.4,6.5,7.1
충북,7.4,6.1,5.4,7.1,8.4,6.7,5.7
충남,10.5,5.2,6.5,6.3,6.6,6.7,5.3
전북,7.7,6.5,6.8,7.1,7.8,7.7,6.3
전남,8.8,6.9,6.9,5.2,5.4,4.8,3.9
경북,5.2,7.3,5.0,6.3,6.5,4.7,4.0
경남,6.6,8.4,7.2,9.1,9.3,5.6,6.9
제주,4.7,6.5,3.4,5.9,4.3,6.5,5.2
